dataset,subband,n_paired_samples,AC_pixel_mean,AC_pixel_std,AC_latent_pool_mean,AC_latent_pool_std,AC_latent_meanC_mean,AC_latent_meanC_std,AC_pixel_latent_paired_r,LFE_pixel,LFE_latent_pool,HFE_pixel,HFE_latent_pool,slope_pixel,slope_latent_pool,PSD_shape_corr_r
Shanghai,GT,154,0.9466737071299234,0.027351266781921145,0.6524886660916378,0.16598557723862833,0.6524886660916378,0.07209613667718458,0.8213042360576845,0.9984054964075496,0.9749229153882545,1.602016615883081e-05,0.005606072681481902,-3.7201477189591343,-1.61049915511972,0.9454234393280974
Shanghai,LL,154,0.879748674235009,0.05874983513866786,0.6737952584023813,0.10967291877773205,0.6737952584023813,0.06429619155360072,0.668304996824827,0.9933512765732638,0.9545583556090735,0.000298781109604277,0.004194862957725294,-2.845722263105997,-2.063724328571795,0.986737757538747
Shanghai,LH,154,-0.11472179697470147,0.04506932053385212,-0.04316164721294381,0.08566749497309348,-0.04316164721294382,0.045071788306785404,0.3312791789501302,0.1062708842749685,0.21553622978494594,0.3095291054985297,0.28873958705238223,0.7171223362174581,0.21047083527955132,0.9864935980776457
Shanghai,HL,154,-0.18190659935858922,0.029731194700064807,-0.0417601620195545,0.07519374452710344,-0.04176016201955449,0.04037864807039636,0.10663778659465648,0.08240664877433465,0.21554594557898163,0.41498556495815747,0.3032260736847567,0.9413104209549399,0.1963192223091303,0.9022286423111315
Shanghai,HH,154,-0.44576325210337436,0.037178434706452,-0.0624903143712743,0.08439755890976033,-0.062490314371274315,0.04364864299173354,0.06547638032537331,0.03348356204120016,0.19483605665698603,0.7512803322863854,0.334391398093629,1.4358006970408248,0.25540338621404,0.7920539789094677
SEVIR_Storm,GT,141,0.9365781794415978,0.08154239337569173,0.5661188792960234,0.2515854738789717,0.5661188792960234,0.09154448631626627,-0.020177540022808277,0.9988808951529313,0.9680374620135166,7.2174750670236545e-06,0.008544480116739748,-4.065282909398528,-1.537208481671926,0.9262253688822808
SEVIR_Storm,LL,141,0.8590479627206455,0.10768817363622041,0.6111963434980016,0.17727330151105664,0.6111963434980016,0.0802611170674054,0.4755700949563104,0.9942006396690639,0.9584293246971138,0.00016663365315874745,0.0042299218498306895,-3.041390146348244,-1.9194490134595847,0.9920325438490074
SEVIR_Storm,LH,141,-0.12486076838277584,0.13435433428061447,-0.0035281172977363533,0.10263866940573453,-0.003528117297736354,0.06852417187834234,0.6099961489394106,0.10950321912597526,0.23310572790032416,0.33694537939932395,0.25712933726282655,0.8297992575746377,0.10439180408626557,0.32540485741607494
SEVIR_Storm,HL,141,-0.13981321155001294,0.13969154930643388,-0.024006312731071386,0.09013813553681173,-0.024006312731071386,0.06201383989033175,0.6357616042827883,0.10985579223601498,0.20448095787221346,0.36472654353026157,0.2736794534162606,0.9361493039244415,0.1895356747447244,0.49055425164792316
SEVIR_Storm,HH,141,-0.46194657551422647,0.14420007947752642,-0.09831291005772999,0.16125019223096773,-0.09831291005772999,0.13214341086823433,-0.7623261305022159,0.03144794727978928,0.1800281242411777,0.7579742139239299,0.3720696778077313,1.4061935562000363,0.4101867427775182,0.8112338833220457
